
---------------------------------------------- [malloc] [cover]
22-May 18:43:48 test235         0.0 sec     4: 16653 of 25105  33.7%   102.00/s
22-May 18:43:48 test226         0.0 sec     8: 16645 of 25105  33.7%   656.76/s
22-May 18:43:49 test223         0.0 sec     2: 16643 of 25105  33.7%    71.61/s
22-May 18:43:49 test204         0.1 sec    14: 16629 of 25105  33.8%   119.97/s
22-May 18:43:49 test203         0.1 sec     9: 16620 of 25105  33.8%   152.16/s
22-May 18:43:49 test183         0.0 sec    12: 16608 of 25105  33.8%   462.77/s
22-May 18:43:50 test179         0.1 sec    15: 16593 of 25105  33.9%   146.96/s
22-May 18:43:52 test179         2.3 sec     4: 16589 of 25105  33.9%     1.76/s
22-May 18:43:53 test174         0.0 sec    10: 16579 of 25105  34.0%   239.85/s
22-May 18:43:53 test155         0.1 sec    41: 16538 of 25105  34.1%   343.00/s
22-May 18:43:53 test136         0.2 sec    55: 16483 of 25105  34.3%   332.95/s
22-May 18:43:54 test02          0.7 sec   247: 16236 of 25105  35.3%   332.14/s
22-May 18:43:55 test109         0.5 sec    10: 16226 of 25105  35.4%    21.57/s
22-May 18:43:55 test109         0.0 sec     4: 16222 of 25105  35.4%  1586.67/s
22-May 18:43:56 test109         0.4 sec     8: 16214 of 25105  35.4%    22.62/s
22-May 18:43:56 test04          0.1 sec    15: 16199 of 25105  35.5%   163.52/s
22-May 18:43:56 test207         0.0 sec     2: 16197 of 25105  35.5%   600.96/s
22-May 18:43:57 test221         0.0 sec     2: 16195 of 25105  35.5%   257.43/s
22-May 18:43:57 test162         0.1 sec     3: 16192 of 25105  35.5%    58.77/s
22-May 18:43:59 test159         1.2 sec    72: 16120 of 25105  35.8%    60.65/s
22-May 18:43:59 test09          0.0 sec     5: 16115 of 25105  35.8%   620.27/s
22-May 18:43:59 test132         0.1 sec     8: 16107 of 25105  35.8%    97.70/s
22-May 18:44:04 test141         4.5 sec   549: 15558 of 25105  38.0%   121.98/s
22-May 18:44:06 testc2(1,1)     1.4 sec    20: 15538 of 25105  38.1%    13.83/s
